 # sweep    Energy    eta
         474  -708.09187200668805        8.6549874601931948E-002
         475  -706.38687166610089        8.5435169410090980E-002
         476  -709.96293148958489        8.0519431496599445E-002
         477  -713.76397962728231        8.5593524584949315E-002
         478  -714.35300364539728        8.6070368757238738E-002
         479  -710.79401409840784        9.0651009345177669E-002
         480  -714.30420225756166        8.0818205340177848E-002
         481  -709.76108292245124        7.4081454689440968E-002
         482  -709.68638052397023        7.3807585690961228E-002
         483  -707.78647702075830        7.7019150486766066E-002
         484  -708.65837802777094        7.6027194723529617E-002
         485  -709.08967161195858        8.4647746992685041E-002
         486  -705.99062985073670        8.2024418393593077E-002
         487  -709.96740110256405        8.4804642670061769E-002
         488  -707.10404690101257        8.6871009357193496E-002
         489  -706.44115852190043        7.9629716057572256E-002
         490  -703.68887365638432        7.9335335896203452E-002
         491  -706.04409416646206        8.1268436373333280E-002
         492  -704.79430613554655        8.0967998087248277E-002
         493  -702.48300652897728        8.5277091956808562E-002
         494  -704.53229548619481        9.2345359833400309E-002
         495  -701.61155963627596        9.1156012621493254E-002
         496  -703.23744346049352        8.2787422903760940E-002
         497  -704.21260003674934        8.0967993261179649E-002
         498  -707.52229383990129        7.7735590545585834E-002
         499  -704.09981478888301        8.6549853966836204E-002
         500  -707.85669899402512        8.6229891002774117E-002
         501  -700.85624967443141        8.8330985572517950E-002
         502  -698.42760823735580        9.1324971452121609E-002
         503  -703.94956172607192        9.0148766168282463E-002
         504  -703.02226231020768        8.7354954816368444E-002
         505  -705.49677829207917        8.6229880723370678E-002
         506  -703.75181860321868        8.6710270055385424E-002
         507  -702.42501702558559        8.4023021553769228E-002
         508  -700.74631461688534        7.7735576645380292E-002
         509  -706.73555140514247        7.7448198858168060E-002
         510  -706.66034542903594        7.7161883467301837E-002
         511  -706.77227428595415        7.9777291730295352E-002
         512  -708.14835968833290        7.6592424178991425E-002
         513  -708.58932368513445        7.3534702850620720E-002
         514  -707.70728541077278        7.6734393786642555E-002
         515  -703.41636412499554        7.0338056784352385E-002
         516  -706.12779758397448        7.9777291730295366E-002
         517  -704.85967820280064        7.8024016120451969E-002
         518  -706.27125434268544        8.0668646439252367E-002
         519  -702.40228753328324        7.7448194241895821E-002
         520  -696.29873522764967        8.0073307031684290E-002
         521  -702.36721890270405        7.9777286975198369E-002
         522  -704.05741131844616        7.8749808236595387E-002
         523  -707.99716380337759        8.7679071516112844E-002
         524  -709.58474222817313        8.4178749259697108E-002
         525  -712.11528461340231        8.0818166803063668E-002
         526  -707.08579025463473        8.2024384170345951E-002
         527  -707.91463075239130        8.2481344551016328E-002
         528  -710.17167672689061        8.2176422309408831E-002
         529  -708.36405119716483        8.5752137494554209E-002
         530  -706.94786947703710        8.7841591027876406E-002
         531  -705.20138258200461        8.6710249382048549E-002
         532  -700.97340477124703        8.5593478669016967E-002
         533  -708.04743172188455        8.3712379984702392E-002
         534  -706.33253285853561        8.7354928782567121E-002
         535  -708.95779027001754        8.4647701584107213E-002
         536  -709.53387884010408        8.1268397621532304E-002
         537  -705.37877344502840        7.7304890178079261E-002
         538  -706.80108672990923        7.9925145665067629E-002
         539  -706.05150617573611        7.9629673340875284E-002
         540  -702.62933883946130        8.7031984379590963E-002
         541  -703.32721409313717        8.2787383427650921E-002
         542  -702.89925081098329        8.2481329802203948E-002
         543  -707.41259362570668        8.2940835841119637E-002
         544  -701.72658577145978        8.7354923575807777E-002
         545  -701.99628586589938        8.0818152351650588E-002
         546  -711.67629930671535        8.2024369503244418E-002
         547  -712.36611450828900        8.0967949826575042E-002
         548  -712.73315631087428        8.1419024778847937E-002
         549  -715.60319929694242        8.2634209997720171E-002
         550  -714.40215747074376        8.7841570084811596E-002
         551  -713.42578263108442        8.8330938188097535E-002
         552  -715.98383973436296        8.6389678010410101E-002
         553  -714.38105733391171        8.5277036044808407E-002
         554  -712.81966802316856        8.0370396751761775E-002
         555  -715.97356074955371        8.2328717726304707E-002
         556  -714.12139800014484        8.0519369105306132E-002
         557  -717.45800977244653        8.2481319969663777E-002
         558  -714.65136659259997        8.4491076116612732E-002
         559  -717.62475640927221        8.2634205072337555E-002
         560  -720.19343790815390        7.7879628033044587E-002
         561  -718.19887500620439        8.4334750510083198E-002
         562  -716.78719689616889        7.8749780073474329E-002
         563  -715.53320736276862        8.4491071080552302E-002
         564  -710.30277589326283        8.3402881917588531E-002
         565  -714.16678274846106        8.1569926254577138E-002
         566  -714.71434637396544        8.0519359506649901E-002
         567  -711.75963093296878        8.3248569690767271E-002
         568  -714.82560409824646        9.8894452483561282E-002
         569  -709.39944597853219        9.0650922893679486E-002
         570  -708.23070367962043        8.3867511954049276E-002
         571  -711.99516472097423        8.6710208035389480E-002
         572  -712.11156088450753        8.4022961455842496E-002
         573  -709.16764037728376        8.2176378226552479E-002
         574  -705.17250738842984        8.4178704102709154E-002
         575  -708.50661253430223        8.7031948067024884E-002
         576  -710.99185249506320        8.8330906598497988E-002
         577  -711.17005982498870        8.4022956447683858E-002
         578  -712.27594039834923        8.6070276413800620E-002
         579  -715.43766512668981        8.8167481782917570E-002
         580  -719.43788376534837        8.4647661220947301E-002
         581  -720.32285656383419        8.5911034087512536E-002
         582  -715.89020217197549        8.7193262891465187E-002
         583  -715.96059103837263        9.3550130118897290E-002
